domain,http_code,final_url,title_snip,cta_host
joinamle.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10489,Weight Loss With Semaglutide injection,
joinambel.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10749,Weight Loss With Semaglutide injection,
joinambl.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10614,Weight Loss With Semaglutide injection,
joainamble.com,000,http://joainamble.com/,,
joinamble.co,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss11066,Weight Loss With Semaglutide injection,
joinamble.net,000,http://joinamble.net/,,
joinamble.org,000,http://joinamble.org/,,
join-amble.com,000,http://join-amble.com/,,
getamble.com,000,http://getamble.com/,,
tryamble.com,200,https://tryamble.com/,tryamble.com,
goamble.com,000,http://goamble.com/,,
myamble.com,200,https://myamble.com/,Amble Club - Step racing with your friends,
amblehealth.com,302,http://survey-smiles.com/,,
joinamblemeds.com,000,http://joinamblemeds.com/,,
joinambel.net,000,http://joinambel.net/,,
joinamle.net,000,http://joinamle.net/,,
amble.co,200,https://amble.co/,Andrew McBride,
ambel.com,200,http://ambel.com/,,
joinambel.org,000,http://joinambel.org/,,
joinamle.org,000,http://joinamle.org/,,
joinamble.shop,000,http://joinamble.shop/,,
joinamble.online,000,http://joinamble.online/,,
joinanble.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10616,Weight Loss With Semaglutide injection,
joinamblee.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10747,Weight Loss With Semaglutide injection,
joinamable.com,000,http://joinamable.com/,,
joiamble.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10488,Weight Loss With Semaglutide injection,
joinamble.com,200,https://joinamble.com/,Home | Amble,
www.joinamle.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10489,Weight Loss With Semaglutide injection,
www.joinambel.com,200,https://www.my-weight-loss.com/semaglutide/?tk=wloss10749,Weight Loss With Semaglutide injection,
